claim_id,location,claim_text,source_file,source_selector,value_name,claimed_value,source_value,abs_error,tolerance,status,note,error
main_causal_tail_after_loop_gain,Main causal-path paragraph,adding force-tail after loop changes R^2 by 0.001,source_data/nphys_causal_path_permutation_gain.csv,test=tail_after_loop,delta_r2,0.001,0.0006357699786038,0.0003642300213962,0.0005,pass,Rounded from 0.000636; reciprocal increment is negligible.,
main_two_scale_variance_loop_after_route_tail_gain,Main two-scale mechanism paragraph,adding L+S L after the route-tail model increases R^2 by 0.105,source_data/nphys_two_scale_variance_partition_shuffle_tests.csv,test=loop_sector_after_tail_and_route,observed_delta_r2,0.105,0.1045190178283378,0.00048098217166218926,0.0005,pass,"Two-scale variance-partition audit; diagnostic, not randomized causal proof.",
main_two_scale_variance_loop_shuffle_p,Main two-scale mechanism paragraph,route-preserving loop-shuffle null gives P=0.0002,source_data/nphys_two_scale_variance_partition_shuffle_tests.csv,test=loop_sector_after_tail_and_route,route_preserving_shuffle_p,0.0002,0.0001999600079984,3.999200160002261e-08,5e-05,pass,Route-preserving null keeps route distributions but breaks loop-overload cycle alignment.,
main_two_scale_route_gain_exact_p,Main two-scale mechanism paragraph,"slow route coordinate S orders fitted G(S), exact P=0.017",source_data/nphys_two_scale_response_collapse_metrics.csv,test=route_severity_orders_susceptibility,p_value,0.017,0.0166666666666666,0.0003333333333334007,0.0005,pass,Exact five-route Spearman permutation check for route severity ordering loop-to-overload gain.,
main_two_scale_full_model_loro,Main two-scale mechanism paragraph,full two-scale model gave leave-one-route R^2=0.86,source_data/nphys_two_scale_response_collapse_model_tests.csv,model=loop + severity + SxL,r2_vs_mean,0.86,0.8603633283866661,0.00036332838666608414,0.005,pass,Huber leave-one-route diagnostic for slow susceptibility plus fast loop drive.,
main_two_scale_top5_tail_control_loro,Main two-scale mechanism paragraph,top-5% force-tail control gave leave-one-route R^2=0.65,source_data/nphys_two_scale_response_collapse_model_tests.csv,model=top-5 force tail,r2_vs_mean,0.65,0.6516513892786578,0.0016513892786578221,0.005,pass,Tail-only transfer control in the two-scale response-collapse audit.,
main_two_scale_gain_normalized_not_universal,Main two-scale mechanism paragraph,dividing by G(S) did not produce a universal one-slope law,source_data/nphys_two_scale_response_collapse_metrics.csv,test=susceptibility_normalized_collapse,value,0.067,0.0672083203697942,0.00020832036979419322,0.005,pass,Low Spearman rho after gain normalization bounds the route-conditioned diagnostic.,
main_phase_displacement_downward_exact_p,Main return-map paragraph,"downward hot-coordinate displacement co-orders overload/gain/severity, exact P=0.017",source_data/nphys_phase_displacement_geometry_correlations.csv,relationship=downward hot displacement vs mean overload,exact_p_two_sided,0.017,0.0166666666666666,0.0003333333333334007,0.0005,pass,Exact five-route Spearman permutation check for the Fig. 5a displacement geometry.,
main_breathing_loop_activation_rho_raw,Main response-function paragraph,"positive loop activation orders hot overload across routes, rho=0.919",source_data/nphys_breathing_quality_factor_correlations.csv,predictor=loop_activation_positive; target=overload_asinh,spearman_raw,0.919,0.9191922891566322,0.00019228915663216384,0.0005,pass,Breathing hierarchy in the lagged three-route subset.,
main_breathing_loop_activation_rho_centered,Main response-function paragraph,"positive loop activation remains strong after route centring, rho=0.909",source_data/nphys_breathing_quality_factor_correlations.csv,predictor=loop_activation_positive; target=overload_asinh,spearman_within_route,0.909,0.9090430600637708,4.306006377075011e-05,0.0005,pass,Centred response hierarchy.,
main_hazard_rho_centered,Main response-function paragraph,"breathing hazard retained route-centred predictive power, rho=0.800",source_data/nphys_breathing_quality_factor_correlations.csv,predictor=log_hazard_number; target=overload_asinh,spearman_within_route,0.8,0.8002843187285849,0.0002843187285848092,0.0005,pass,"Hazard is a modulation/observability coordinate, not a replacement law.",
main_hazard_circular_shift_p,Main response-function paragraph,"breathing hazard survived route-wise circular-shift nulls, P=0.0012",source_data/nphys_breathing_quality_factor_circular_shift_null.csv,two_sided_p constant over permutations,two_sided_p,0.0012,0.0011997600479904,2.399520095998104e-07,5e-05,pass,Null table stores the same observed P on each permutation row.,
main_next_cold_fabric_lagged_imprint,Main lagged prediction paragraph,"cold-to-hot fabric excursions predicted next-cold fabric imprints, rho=0.48",source_data/nphys_breathing_cycle_correlations.csv,relationship=inhaled_geometry_to_next_cold_fabric,spearman_within_regime_centered,0.48,0.475760005832179,0.004239994167821004,0.005,pass,"Lagged breathing imprint, route-centred.",
main_next_cold_fabric_lagged_imprint_p,Main lagged prediction paragraph,"cold-to-hot fabric excursions predicted next-cold fabric imprints, P=3.2e-6",source_data/nphys_breathing_cycle_correlations.csv,relationship=inhaled_geometry_to_next_cold_fabric,p_within_regime_centered,3.2e-06,3.206956598861361e-06,6.956598861361355e-09,1e-07,pass,Lagged breathing imprint P value.,
main_next_cold_loop_memory_lagged_imprint,Main lagged prediction paragraph,"positive graph cycles predicted next-cold loop-memory imprints, rho=0.55",source_data/nphys_breathing_cycle_correlations.csv,relationship=inhaled_positive_cycles_to_next_cold_loop_memory,spearman_within_regime_centered,0.55,0.5460013122402857,0.003998687759714348,0.005,pass,"Lagged loop-memory imprint, route-centred.",
main_next_cold_loop_memory_lagged_imprint_p,Main lagged prediction paragraph,"positive graph cycles predicted next-cold loop-memory imprints, P=4.5e-8",source_data/nphys_breathing_cycle_correlations.csv,relationship=inhaled_positive_cycles_to_next_cold_loop_memory,p_within_regime_centered,4.5e-08,4.50750369927153e-08,7.503699271529916e-11,1e-09,pass,Lagged loop-memory imprint P value.,
main_breath_amplitude_to_overload,Main lagged prediction paragraph,"larger inhalation amplitude correlated with overload, rho=0.83",source_data/nphys_breathing_parameter_effects_correlations.csv,predictor=breath_amplitude; target=force_p99_hot_minus_cold,spearman_within_regime,0.83,0.8308850331705182,0.0008850331705182457,0.005,pass,Breathing parameter effect after route centring.,
main_imprint_efficiency_to_overload,Main lagged prediction paragraph,"imprint efficiency was anti-correlated with overload, rho=-0.44",source_data/nphys_breathing_parameter_effects_correlations.csv,predictor=imprint_efficiency; target=force_p99_hot_minus_cold,spearman_within_regime,-0.44,-0.4351534592111977,0.0048465407888023115,0.005,pass,"Buffering language is supported as an anti-correlation, not as proof of causality.",
main_lyapunov_storage_alone_transfer,Main return-map paragraph,"Lyapunov storage alone did not transfer overload, R^2=0.002",source_data/nphys_lyapunov_storage_transfer_tests.csv,model=lyapunov_storage,r2_vs_mean,0.002,0.0016229628048591,0.00037703719514089996,0.0005,pass,Storage is not the overload coordinate.,
main_storage_plus_psi_transfer,Main return-map paragraph,Lyapunov storage plus Psi improved leave-one-route response prediction to R^2=0.81,source_data/nphys_lyapunov_storage_transfer_tests.csv,model=storage_plus_Psi,r2_vs_mean,0.81,0.8129068649850412,0.0029068649850411132,0.005,pass,Storage supports dissipative-state language when paired with Psi.,
main_rare_event_loop_auc,Main force-loop onset paragraph,force-loop activation identified the top-20% overload tail with AUC 0.90,source_data/nphys_force_loop_rare_event_metrics.csv,predictor=force-loop activation,auc,0.9,0.8991666666666668,0.0008333333333332416,0.005,pass,"Route-local rare-event readout; finite-route diagnostic, not a large-deviation rate function.",
main_rare_event_loop_top_quintile_risk,Main force-loop onset paragraph,force-loop activation raised the top-quintile tail risk to 0.67,source_data/nphys_force_loop_rare_event_metrics.csv,predictor=force-loop activation,top_quintile_risk,0.67,0.6666666666666666,0.0033333333333334103,0.005,pass,Conditional extreme-overload risk in the top force-loop quintile.,
main_rare_event_tail_inverse_control_auc,Main force-loop onset paragraph,top-5% force-tail surrogate was oppositely signed,source_data/nphys_force_loop_rare_event_metrics.csv,predictor=top-5% force tail,auc,0.21,0.2094444444444444,0.0005555555555555869,0.005,pass,AUC below 0.5 verifies inverse-control wording for the force-tail surrogate.,
main_rare_event_lag2_loop_auc,Main return-map precursor paragraph,lag-2 loop activation predicted route-local rare overload with AUC 0.91,source_data/nphys_force_loop_rare_event_precursor_lag_scan.csv,predictor=lagged loop; lag_cycles=2,auc,0.91,0.9082125603864736,0.0017874396135264536,0.005,pass,Bounded early-warning statement; not a universal one-cycle alarm.,
main_rare_event_lag2_loop_top_quintile_risk,Main return-map precursor paragraph,lag-2 loop activation raised top-quintile two-cycle risk to 0.57,source_data/nphys_force_loop_rare_event_precursor_conditional_risk.csv,predictor=lagged loop; quintile=5,rare_event_probability,0.57,0.5714285714285714,0.0014285714285714457,0.005,pass,Two-cycle conditional risk from lagged force-loop activation.,
main_breathing_memory_loop_kernel_loro,Main return-map precursor paragraph,lag-0--4 loop kernel predicted held-out-route overload with R^2=0.64,source_data/nphys_breathing_memory_kernel_transfer_tests.csv,model=loop kernel; validation=leave_one_route_out,r2_vs_training_mean,0.64,0.6426767356222798,0.002676735622279769,0.005,pass,Finite-memory diagnostic; not a universal frequency law.,
main_breathing_memory_tail_kernel_loro,Main return-map precursor paragraph,top-5% force-tail kernel transferred negatively with R^2=-0.60,source_data/nphys_breathing_memory_kernel_transfer_tests.csv,model=tail kernel; validation=leave_one_route_out,r2_vs_training_mean,-0.6,-0.6021500220217149,0.0021500220217148813,0.005,pass,Force-tail distributed-lag control remains insufficient.,
main_normal_form_r3_dominant_eigenvalue,Main return-map paragraph,near-onset route has weakly damped flip-mode dominant eigenvalue -0.94,source_data/nphys_return_map_normal_form_route_metrics.csv,regime_id=R3,dominant_eigenvalue,-0.94,-0.9369856766109874,0.00301432338901253,0.005,pass,"Normal-form reserve audit; consistency bridge to finite-cycle memory, not a bifurcation claim.",
main_normal_form_loop_even_lag_mean,Main return-map paragraph,loop activation even-lag autocorrelation mean pooled rho=0.75,source_data/nphys_return_map_normal_form_parity_summary.csv,series=loop activation; parity=even,mean_pooled_spearman,0.75,0.753006429713922,0.0030064297139219542,0.005,pass,Even-lag bridge from breathing memory-kernel autocorrelation.,
main_normal_form_overload_even_lag_mean,Main return-map paragraph,overload even-lag autocorrelation mean pooled rho=0.71,source_data/nphys_return_map_normal_form_parity_summary.csv,series=overload; parity=even,mean_pooled_spearman,0.71,0.7128739222325847,0.002873922232584758,0.005,pass,Even-lag overload memory bridge.,
main_normal_form_loop_odd_lag_mean,Main return-map paragraph,loop activation odd-lag autocorrelation mean pooled rho=-0.32,source_data/nphys_return_map_normal_form_parity_summary.csv,series=loop activation; parity=odd,mean_pooled_spearman,-0.32,-0.3227203628729821,0.002720362872982107,0.005,pass,Odd-lag contrast for finite-cycle rhythm.,
main_normal_form_overload_odd_lag_mean,Main return-map paragraph,overload odd-lag autocorrelation mean pooled rho=-0.24,source_data/nphys_return_map_normal_form_parity_summary.csv,series=overload; parity=odd,mean_pooled_spearman,-0.24,-0.2412950640863277,0.0012950640863277074,0.005,pass,Odd-lag overload contrast for finite-cycle rhythm.,
